제목,작가,평점,장르,연령,한줄 스토리,스토리 키워드,학원물
와탕카2,우주인,8.99,"에피소드, 개그",0,"우주인이 돌아왔다.
업그레이드 된 작화와 센스 있는 유머. 와탕카 시즌2 시작합니다","['시즌', '작화', '우주인', '업그레이드', '센스', '유머']",0
썸남,배철완,9.97,"에피소드, 드라마",0,"옆방에 사는 어색한 두 남자들에 대한 고찰. 
2014 대학만화 최강자전 수상작!","['고찰', '수상작', '대학', '최강자', '옆방', '어색']",0
소년들은 무엇을 하고 있을까,컷부,9.41,"에피소드, 개그",0,소년들 사이에서 벌어지는 다양한 이야기를 다룹니다.,"['다양', '소년']",0
환생동물학교,엘렌 심,9.99,"에피소드, 감성",0,"동물들이 인간으로 환생하기 전, 동물의 습성을 버리고 인간 세계에서 잘 적응할 수 있는 교육을 받는 학교.그곳에는 주인을 걱정하고 그리워하는 사랑스러운 동물들로 가득하다.신입 선생님은 이제 이들을 가르쳐 주인을 잊고 인간이 될 수 있도록 해야 하는데….","['동물', '걱정', '사랑', '선생님', '환생', '습성', '세계', '신입', '주인', '학교', '적응', '교육']",1
낢 부럽지 않은 신혼여행기,서나래,9.97,"에피소드, 일상",0,"유럽 여행기의 탈을 쓸 낢의 신혼여행기. 
서나래 작가의 컷툰 신작!","['유럽', '나래', '신혼', '여행기']",0
일상날개짓,나유진,9.94,"에피소드, 일상",0,"싱글맘 꼬꼬댁씨와 그의 아들 아기새가 살아가는 투닭투닭 성장스토리!
사랑스러운 이들의 <일상날개짓> 시즌2","['시즌', '사랑', '일상', '스토리', '아들', '싱글', '아기', '성장', '날개']",0
식스센스,릴레이연재,9.23,"에피소드, 개그",0,매주 새로운 주제의 6인 6색 만화를 즐기자! ,['주제'],0
갸오오와 사랑꾼들,갸오오,9.94,"에피소드, 개그",0,"차이고, 퇴짜맞는 것은 일상하지만 절대 기죽지 않아!!갸오오와 친구들의 좌충우돌 사랑 도전기","['친구', '사랑', '일상', '퇴짜', '좌충우돌', '도전', '절대', '전기', '차이']",0
조석축구만화,조석,9.81,"에피소드, 스포츠",0,조석 작가가 들려주는 너무나도 솔직담백한 해외축구이야기.,"['축구', '해외', '조석']",0
선녀님은 휴가중,으늬,9.25,"에피소드, 로맨스",0,"천방지축 천상계 공주님과 철벽 재수탱이 지구인과의 사랑 만들기!!  매일 온라인 게임과 나이트에서 밤새 올나잇을 즐기는 철부지 공주, 직녀!어느날, 그런 딸이 못마땅한 옥황상제는 직녀를 시집 보내겠노라 선언한다.야밤도주한 직녀는 게임 내(內) 원수지간이던 온달의 집에 가정부로 일하게 되는데…!","['천상계', '가정부', '밤새', '온달', '만들기', '철부지', '매일', '사랑', '지간', '원수', '주한', '직녀', '야밤', '철벽', '게임', '나이트', '공주', '도주', '선언', '온라인', '원수지간', '시집', '지구인', '상제']",0
