idx,name,score,writer,age_limit
636,동토의 여명,9.94,김정휘,0
637,부활남,9.51,채용택,0
638,반중력소녀,9.77,겨울,0
639,캉타우,9.94,신형욱,0
640,천국의 신화,9.88,이현세,0
641,돌아온 럭키짱,3.80,김성모,0
642,신선비,9.91,이서현,0
643,악취,9.92,디귿,0
644,이계 무슨 황비,9.97,전현서,0
645,만찢남녀,9.97,님니,0
646,POGO 공포단편선 - 혼집,9.91,POGO,0
647,치즈인더트랩,9.99,순끼,0
648,결계녀,9.87,김태경,0
649,요괴대전,9.76,강두식,0
650,마스크걸,9.96,매미,0
651,테러맨,9.96,한동우,0
652,신석기녀,9.97,재아,0
653,신과함께,9.98,주호민,0
654,핑크레이디,9.92,"연우,서나",0
655,좀비딸,9.97,이윤창,0
656,남과 여,9.98,혀노,0
657,사이드킥,9.94,신의철,0
658,아일랜드 2부,9.97,윤인완,0
659,조의 영역,9.94,조석,0
660,신령,9.97,이혜,0
661,플루타크 영웅전,9.14,양영순,0
662,열등의 조건,9.89,또이,0
663,화양연화 Pt.0 ＜SAVE ME＞,9.00,Big Hit E...,0
664,하나의 하루,9.95,석우,0
665,철벽! 연애 시뮬레이션,9.96,혜니,0
